category_id,category_name
toplists,Top Lists
0JQ5DAqbMKFHCxg5H5PtqW,Bollywood
0JQ5DAqbMKFKSopHMaeIeI,Punjabi
0JQ5DAqbMKFE33XAyDiPIr,Tamil
0JQ5DAqbMKFIdOwkMWR5at,Telugu
0JQ5DAqbMKFCWjUTdzaG0e,Indie
0JQ5DAqbMKFCfObibaOZbv,Gaming
0JQ5DAqbMKFOOxftoKZxod,RADAR
0JQ5DAqbMKFPw634sFwguI,EQUAL
0JQ5DAqbMKFEC4WFtoNRpw,Pop
0JQ5DAqbMKFImHYGo3eTSg,Fresh Finds
0JQ5DAqbMKFOx2X0qlR9iG,Marathi
0JQ5DAqbMKFLVaM30PMBm4,Summer
0JQ5DAqbMKFLb2EqgLtpjC,Wellness
0JQ5DAqbMKFOTGtSOysEXE,Devotional
0JQ5DAqbMKFAEu5QlAkwvV,Indian Classical
0JQ5DAqbMKFAUsdyVjCQuL,Romance
0JQ5DAqbMKFIVNxQgRNSg0,Decades
0JQ5DAqbMKFGvOw3O4nLAf,K-Pop
0JQ5DAqbMKFEOEBCABAxo9,Netflix
